"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"M3,M2,M1";"MountingHole1.5mm";3;"MountingHole_2.1mm";;;
2;"IC1";"SOP-8";1;"TP4056";;;
3;"J7";"Battery_holder";1;"LPS_Sensor";;;
4;"L1";"IND_22uH";1;"Inductor_22uH";;;
5;"C8,C9";"CAPAE660X550N";2;"100 uF";;;
6;"J6";"Conn_USBmicro-B_ebay-side_TH";1;"USB3130-XX-X_REVD";;;
7;"J2";"Battery_holder";1;"Battery_input";;;
8;"J1";"Battery_holder";1;"Solar_input";;;
9;"U4";"BME280";1;"BME_280";;;
10;"U5";"SOT89";1;"BL8530";;;
11;"J4";"Pin_Header_Straight_1x06_Pitch2.54mm";1;"Conn_01x06_Female";;;
12;"U3";"STM32(LQFP48)";1;"STM32";;;
13;"SW1";"SW_MLL1200S";1;"MLL1200S";;;
14;"R9,R1";"R_0805";2;"510 R";;;
15;"D4";"D_0805";1;"Bat_Low";;;
16;"J5";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Airquality";;;
17;"U2";"LoRa";1;"Ra-01";;;
18;"AE1";"Pin_Header_Straight_1x01_Pitch2.54mm";1;"Antenna";;;
19;"J3";"Pin_Header_Straight_1x04_Pitch2.54mm";1;"Distance /";;;
20;"C2";"C_0805";1;"1.0uf";;;
21;"C4,C5,C6,C7";"C_0805";4;"20pf";;;
22;"C1,C3";"C_0805";2;"100 nf";;;
23;"D1,D3,D6";"D_0805";3;"Pwr_L.E.D";;;
24;"R2,R4";"R_0805";2;"10K";;;
25;"R3";"R_0805";1;"1M";;;
26;"R5";"D_A-405_P5.08mm_Vertical_AnodeUp";1;"LDR";;;
27;"U1";"SOT-23-5";1;"APK2112.K-3.3";;;
28;"Y1";"Crystal_HC49-4H_Vertical";1;"32.768K";;;
29;"Y2";"Crystal_HC49-4H_Vertical";1;"8Mhz";;;
30;"SW2";"SW_PUSH_6mm_h5mm";1;"SW_Push";;;
31;"D5";"D_1206";1;"SS14";;;
32;"C10,C11";"C_0805";2;"10uf";;;
33;"Q1";"BC547-SOT23";1;"BC547";;;
34;"R6,R7,R10";"R_0805";3;"1K";;;
35;"R11";"R_0805";1;"510R";;;
