Ref,Val,Package,PosX,PosY,Rot,Side
"C1","1.0uf","C_0805",-36.460000,-32.560000,0.000000,bottom
"C2","20pf","C_0805",-34.390000,-29.410000,180.000000,bottom
"C3","20pf","C_0805",-45.410000,-35.080000,270.000000,bottom
"C4","20pf","C_0805",-47.910000,-35.080000,90.000000,bottom
"C5","20pf","C_0805",-38.960000,-29.060000,0.000000,bottom
"C6","100 nf","C_0805",-47.620000,-60.710000,270.000000,bottom
"C7","100 nf","C_0805",-30.600000,-43.030000,90.000000,bottom
"D2","DIODE","D_0805",-45.240000,-57.350000,270.000000,bottom
"R1","10K","R_0805",-30.960000,-33.110000,270.000000,bottom
"R2","1M","R_0805",-49.910000,-35.080000,270.000000,bottom
"R3","510 R","R_0805",-41.900000,-42.420000,90.000000,bottom
"R4","10K","R_0805",-53.880000,-21.090000,0.000000,bottom
"R6","2.7K","R_0805",-55.780000,-36.800000,0.000000,bottom
"R7","4.7K","R_0805",-55.030000,-41.690000,90.000000,bottom
"U1","APK2112.K-3.3","SOT-23-5",-35.460000,-43.060000,270.000000,bottom
"D1","Pwr_L.E.D","D_0805",47.540000,-54.630000,0.000000,top
"SW1","SW_Push","SW_SPST_B3U-1000P",57.730000,-36.950000,180.000000,top
"U2","STM32","STM32(LQFP48)",46.910000,-34.580000,0.000000,top
